season,round,race_name,circuit,country,date,position,constructor_name,points,points_this_round,leader_points,points_gap,total_rounds,season_progress_pct
2025,15,Dutch Grand Prix,Zandvoort,Netherlands,2025-08-31,1,McLaren,396.0,25.0,396.0,0.0,17,88.2
2025,16,Italian Grand Prix,Monza,Italy,2025-09-07,1,McLaren,429.0,33.0,429.0,0.0,17,94.1
2025,17,Azerbaijan Grand Prix,Baku,Azerbaijan,2025-09-21,1,McLaren,435.0,6.0,435.0,0.0,17,100.0
2025,1,Australian Grand Prix,Melbourne,Australia,2025-03-16,2,Mercedes,27.0,27.0,27.0,0.0,17,5.9
2025,2,Chinese Grand Prix,Shanghai,China,2025-03-23,2,Mercedes,50.0,23.0,70.0,20.0,17,11.8
2025,3,Japanese Grand Prix,Suzuka,Japan,2025-04-06,2,Mercedes,50.0,0.0,70.0,20.0,17,17.6
2025,4,Bahrain Grand Prix,Sakhir,Bahrain,2025-04-13,2,Mercedes,68.0,18.0,110.0,42.0,17,23.5
2025,5,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,2025-04-20,2,Mercedes,86.0,18.0,147.0,61.0,17,29.4
2025,6,Miami Grand Prix,Miami Gardens,United States,2025-05-04,2,Mercedes,109.0,23.0,190.0,81.0,17,35.3
2025,7,Emilia Romagna Grand Prix,Imola,Italy,2025-05-18,2,Mercedes,109.0,0.0,190.0,81.0,17,41.2
2025,8,Monaco Grand Prix,Monaco,Monaco,2025-05-25,2,Mercedes,109.0,0.0,230.0,121.0,17,47.1
2025,9,Spanish Grand Prix,Barcelona,Spain,2025-06-01,2,Mercedes,121.0,12.0,273.0,152.0,17,52.9
2025,10,Canadian Grand Prix,Montréal,Canada,2025-06-15,2,Mercedes,161.0,40.0,285.0,124.0,17,58.8
2025,11,Austrian Grand Prix,Spielberg,Austria,2025-06-29,2,Mercedes,161.0,0.0,285.0,124.0,17,64.7
2025,12,British Grand Prix,Silverstone,United Kingdom,2025-07-06,2,Mercedes,162.0,1.0,328.0,166.0,17,70.6
2025,13,Belgian Grand Prix,Spa-Francorchamps,Belgium,2025-07-27,2,Mercedes,172.0,10.0,371.0,199.0,17,76.5
2025,14,Hungarian Grand Prix,Budapest,Hungary,2025-08-03,2,Mercedes,172.0,0.0,371.0,199.0,17,82.4
2025,15,Dutch Grand Prix,Zandvoort,Netherlands,2025-08-31,2,Mercedes,184.0,12.0,396.0,212.0,17,88.2
2025,16,Italian Grand Prix,Monza,Italy,2025-09-07,2,Mercedes,196.0,12.0,429.0,233.0,17,94.1
2025,17,Azerbaijan Grand Prix,Baku,Azerbaijan,2025-09-21,2,Mercedes,226.0,30.0,435.0,209.0,17,100.0
2025,1,Australian Grand Prix,Melbourne,Australia,2025-03-16,10,Racing Bulls,0.0,0.0,27.0,27.0,17,5.9
2025,2,Chinese Grand Prix,Shanghai,China,2025-03-23,10,Racing Bulls,0.0,0.0,70.0,70.0,17,11.8
2025,3,Japanese Grand Prix,Suzuka,Japan,2025-04-06,10,Racing Bulls,0.0,0.0,70.0,70.0,17,17.6
2025,4,Bahrain Grand Prix,Sakhir,Bahrain,2025-04-13,10,Racing Bulls,0.0,0.0,110.0,110.0,17,23.5
2025,5,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,2025-04-20,10,Racing Bulls,1.0,1.0,147.0,146.0,17,29.4
2025,6,Miami Grand Prix,Miami Gardens,United States,2025-05-04,10,Racing Bulls,1.0,0.0,190.0,189.0,17,35.3
2025,7,Emilia Romagna Grand Prix,Imola,Italy,2025-05-18,10,Racing Bulls,1.0,0.0,190.0,189.0,17,41.2
2025,8,Monaco Grand Prix,Monaco,Monaco,2025-05-25,7,Racing Bulls,13.0,12.0,230.0,217.0,17,47.1
2025,9,Spanish Grand Prix,Barcelona,Spain,2025-06-01,7,Racing Bulls,19.0,6.0,273.0,254.0,17,52.9
2025,10,Canadian Grand Prix,Montréal,Canada,2025-06-15,8,Racing Bulls,19.0,0.0,285.0,266.0,17,58.8
2025,11,Austrian Grand Prix,Spielberg,Austria,2025-06-29,8,Racing Bulls,19.0,0.0,285.0,266.0,17,64.7
2025,12,British Grand Prix,Silverstone,United Kingdom,2025-07-06,9,Racing Bulls,19.0,0.0,328.0,309.0,17,70.6
2025,13,Belgian Grand Prix,Spa-Francorchamps,Belgium,2025-07-27,9,Racing Bulls,23.0,4.0,371.0,348.0,17,76.5
2025,14,Hungarian Grand Prix,Budapest,Hungary,2025-08-03,9,Racing Bulls,23.0,0.0,371.0,348.0,17,82.4
2025,15,Dutch Grand Prix,Zandvoort,Netherlands,2025-08-31,6,Racing Bulls,38.0,15.0,396.0,358.0,17,88.2
2025,16,Italian Grand Prix,Monza,Italy,2025-09-07,7,Racing Bulls,39.0,1.0,429.0,390.0,17,94.1
2025,17,Azerbaijan Grand Prix,Baku,Azerbaijan,2025-09-21,6,Racing Bulls,50.0,11.0,435.0,385.0,17,100.0
2025,1,Australian Grand Prix,Melbourne,Australia,2025-03-16,3,Red Bull Racing,18.0,18.0,27.0,9.0,17,5.9
2025,2,Chinese Grand Prix,Shanghai,China,2025-03-23,3,Red Bull Racing,30.0,12.0,70.0,40.0,17,11.8
2025,3,Japanese Grand Prix,Suzuka,Japan,2025-04-06,3,Red Bull Racing,30.0,0.0,70.0,40.0,17,17.6
2025,4,Bahrain Grand Prix,Sakhir,Bahrain,2025-04-13,3,Red Bull Racing,40.0,10.0,110.0,70.0,17,23.5
2025,5,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,2025-04-20,3,Red Bull Racing,58.0,18.0,147.0,89.0,17,29.4
2025,6,Miami Grand Prix,Miami Gardens,United States,2025-05-04,3,Red Bull Racing,71.0,13.0,190.0,119.0,17,35.3
2025,7,Emilia Romagna Grand Prix,Imola,Italy,2025-05-18,3,Red Bull Racing,71.0,0.0,190.0,119.0,17,41.2
2025,8,Monaco Grand Prix,Monaco,Monaco,2025-05-25,4,Red Bull Racing,83.0,12.0,230.0,147.0,17,47.1
2025,9,Spanish Grand Prix,Barcelona,Spain,2025-06-01,4,Red Bull Racing,84.0,1.0,273.0,189.0,17,52.9
2025,10,Canadian Grand Prix,Montréal,Canada,2025-06-15,4,Red Bull Racing,102.0,18.0,285.0,183.0,17,58.8
2025,11,Austrian Grand Prix,Spielberg,Austria,2025-06-29,4,Red Bull Racing,102.0,0.0,285.0,183.0,17,64.7
2025,12,British Grand Prix,Silverstone,United Kingdom,2025-07-06,4,Red Bull Racing,112.0,10.0,328.0,216.0,17,70.6
2025,13,Belgian Grand Prix,Spa-Francorchamps,Belgium,2025-07-27,4,Red Bull Racing,124.0,12.0,371.0,247.0,17,76.5
2025,14,Hungarian Grand Prix,Budapest,Hungary,2025-08-03,4,Red Bull Racing,124.0,0.0,371.0,247.0,17,82.4
2025,15,Dutch Grand Prix,Zandvoort,Netherlands,2025-08-31,4,Red Bull Racing,144.0,20.0,396.0,252.0,17,88.2
2025,16,Italian Grand Prix,Monza,Italy,2025-09-07,4,Red Bull Racing,169.0,25.0,429.0,260.0,17,94.1
2025,17,Azerbaijan Grand Prix,Baku,Azerbaijan,2025-09-21,3,Red Bull Racing,202.0,33.0,435.0,233.0,17,100.0
2025,1,Australian Grand Prix,Melbourne,Australia,2025-03-16,4,Williams,10.0,10.0,27.0,17.0,17,5.9
2025,2,Chinese Grand Prix,Shanghai,China,2025-03-23,4,Williams,17.0,7.0,70.0,53.0,17,11.8
2025,3,Japanese Grand Prix,Suzuka,Japan,2025-04-06,4,Williams,17.0,0.0,70.0,53.0,17,17.6
2025,4,Bahrain Grand Prix,Sakhir,Bahrain,2025-04-13,6,Williams,17.0,0.0,110.0,93.0,17,23.5
2025,5,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,2025-04-20,5,Williams,23.0,6.0,147.0,124.0,17,29.4
2025,6,Miami Grand Prix,Miami Gardens,United States,2025-05-04,5,Williams,35.0,12.0,190.0,155.0,17,35.3
2025,7,Emilia Romagna Grand Prix,Imola,Italy,2025-05-18,5,Williams,35.0,0.0,190.0,155.0,17,41.2
2025,8,Monaco Grand Prix,Monaco,Monaco,2025-05-25,5,Williams,38.0,3.0,230.0,192.0,17,47.1
2025,9,Spanish Grand Prix,Barcelona,Spain,2025-06-01,5,Williams,38.0,0.0,273.0,235.0,17,52.9
2025,10,Canadian Grand Prix,Montréal,Canada,2025-06-15,5,Williams,39.0,1.0,285.0,246.0,17,58.8
2025,11,Austrian Grand Prix,Spielberg,Austria,2025-06-29,5,Williams,39.0,0.0,285.0,246.0,17,64.7
2025,12,British Grand Prix,Silverstone,United Kingdom,2025-07-06,5,Williams,43.0,4.0,328.0,285.0,17,70.6
2025,13,Belgian Grand Prix,Spa-Francorchamps,Belgium,2025-07-27,5,Williams,51.0,8.0,371.0,320.0,17,76.5
2025,14,Hungarian Grand Prix,Budapest,Hungary,2025-08-03,5,Williams,51.0,0.0,371.0,320.0,17,82.4
2025,15,Dutch Grand Prix,Zandvoort,Netherlands,2025-08-31,5,Williams,61.0,10.0,396.0,335.0,17,88.2
2025,16,Italian Grand Prix,Monza,Italy,2025-09-07,5,Williams,67.0,6.0,429.0,362.0,17,94.1
2025,17,Azerbaijan Grand Prix,Baku,Azerbaijan,2025-09-21,5,Williams,82.0,15.0,435.0,353.0,17,100.0
